Removed Pin From Net: NetName=GND Pin=M2-1
Removed Pin From Net: NetName=3V3 Pin=M2-2
Removed Pin From Net: NetName=SDA Pin=M2-3
Removed Pin From Net: NetName=SCL Pin=M2-4
Removed Pin From Net: NetName=3V3 Pin=M3-1
Removed Pin From Net: NetName=GND Pin=M3-2
Removed Pin From Net: NetName=SCL Pin=M3-3
Removed Pin From Net: NetName=SDA Pin=M3-4
Removed Member From Class: ClassName=Controller Member=M2
Removed Member From Class: ClassName=Controller Member=M3
Change Component Kind : Designator=J5 Old Kind=Standard New Kind=Standard (No BOM)
Change Component Kind : Designator=J11 Old Kind=Standard New Kind=Standard (No BOM)
Change Component Kind : Designator=J1 Old Kind=Standard New Kind=Standard (No BOM)
Change Component Kind : Designator=J4 Old Kind=Standard New Kind=Standard (No BOM)
Change component parameters: Designator = "J3" ("J3"); Footprint = "KLDX-0202-AC"; UniqueID = "\YDFJVTMC\SBQMXGWH" ("\YDFJVTMC\SBQMXGWH")
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "Kycon, Inc."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "KLDX-0202-AC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "NA"; VariantName = "[No Variations]"
Change component parameters: Designator = "R1" ("R1"); Footprint = "RES_0603"; UniqueID = "\SQDBTPBC\SGTPKDIH" ("\SQDBTPBC\SGTPKDIH")
Change component parameters (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "YAGEO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603FR-071KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1k"; VariantName = "[No Variations]"
Change component parameters: Designator = "R2" ("R2"); Footprint = "RES_0603"; UniqueID = "\SQDBTPBC\TRSPKQAA" ("\SQDBTPBC\TRSPKQAA")
Change component parameters (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "YAGEO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603FR-071KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1k"; VariantName = "[No Variations]"
Change component parameters: Designator = "R3" ("R3"); Footprint = "RES_0603"; UniqueID = "\YDFJVTMC\SIBQAKWX" ("\YDFJVTMC\SIBQAKWX")
Change component parameters (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "YAGEO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603FR-071KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1k"; VariantName = "[No Variations]"
Change component parameters: Designator = "R5" ("R5"); Footprint = "RES_0603"; UniqueID = "\YDFJVTMC\IQOVVSFR" ("\YDFJVTMC\IQOVVSFR")
Change component parameters (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "YAGEO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603FR-071KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1k"; VariantName = "[No Variations]"
Change component parameters: Designator = "R6" ("R6"); Footprint = "RES_0603"; UniqueID = "\SQDBTPBC\LYXYOIUG" ("\SQDBTPBC\LYXYOIUG")
Change component parameters (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "YAGEO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603FR-071KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1k"; VariantName = "[No Variations]"
Change component parameters: Designator = "R9" ("R9"); Footprint = "RES_0603"; UniqueID = "\YDFJVTMC\GDJNPAXS" ("\YDFJVTMC\GDJNPAXS")
Change component parameters (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "YAGEO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603FR-071KL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1k"; VariantName = "[No Variations]"
Change component parameters: Designator = "R10" ("R10"); Footprint = "RES_0603"; UniqueID = "\YDFJVTMC\QMBQBYYO" ("\YDFJVTMC\QMBQBYYO")
Change component parameters (AddParameter): Name = "ERP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "RC0603FR-07100KL"; VariantName = "[No Variations]"
