Altium Designer Pick and Place Locations
C:\Users\Satyam.DESKTOP-S570OAU\OneDrive - Vylt Technologies Private Limited\Altium_Designs\MHE_Tracker_V2\Project Outputs for MHE_Tracker_V2\Pick Place\Pick Place for MHE_Tracker_V2.txt

========================================================================================================================
File Design Information:

Date:       16-09-24
Time:       14:42
Revision:   b6beab99fa78b5f7b32bf486056228ced3c8c56c
Variant:    No variations
Units used: mm

Designator Layer       Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                     
C1         TopLayer    CAPC1608X10N              15.6837      9.5274       135      "MLCC 0603"                                                     
C2         TopLayer    CAPC1608X10N              14.5727      7.4274       45       "MLCC 0603"                                                     
C3         TopLayer    CAPC1608X10N              13.5313      8.4835       45       "MLCC 0603"                                                     
C4         TopLayer    CAPC1608X10N              7.7500       36.9989      90       "MLCC 0603"                                                     
C5         TopLayer    CAPC1608X10N              7.7500       44.0000      270      "MLCC 0603"                                                     
C6         TopLayer    CAP_12.5_14               55.4431      12.5562      0        "Electrolytic Capacitor SMD"                                    
C9         TopLayer    CAPC1608X10N              44.1750      26.1530      180      "MLCC 0603"                                                     
C10        TopLayer    CAPC1608X10N              31.2500      8.0000       270      "Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density" 
C11        TopLayer    CAPC1608X10N              31.3952      3.4701       180      "Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density" 
C12        TopLayer    CAPC1608X10N              32.2500      17.6169      180      "Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density" 
C13        TopLayer    CAPC1608X10N              39.0363      19.0000      0        "Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density" 
C14        TopLayer    CAPC1608X10N              39.5000      32.5000      0        "Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density" 
C15        TopLayer    CAPC1608X10N              39.5000      31.0000      0        "Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density" 
C16        TopLayer    CAPC1608X10N              20.5547      27.4325      180      "MLCC 0603"                                                     
C17        TopLayer    CAPC1608X10N              25.4731      27.4325      0        "MLCC 0603"                                                     
C18        TopLayer    CAP_12.5_14               51.0000      47.0000      180      "Electrolytic Capacitor SMD"                                    
C19        TopLayer    CAPC1608X10N              63.7154      42.6858      0        "MLCC 0603"                                                     
C20        TopLayer    CAPC1608X10N              63.7154      41.1596      180      "Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density" 
C21        TopLayer    CAPC1608X10N              59.2293      34.3884      90       "Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density" 
C22        TopLayer    CAPC1608X10N              64.0789      31.6574      0        "Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density" 
C23        TopLayer    CAPC1608X10N              44.0474      11.3454      0        "MLCC 0603"                                                     
C24        TopLayer    CAPC1608X10N              44.0474      12.9680      180      "Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density" 
C25        TopLayer    CAPC1608X10N              55.4431      35.1484      0        "Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density" 
C26        TopLayer    CAPC1608X10N              44.1250      20.6749      180      "MLCC 0603"                                                     
D1         TopLayer    LED_2SMD                  68.0000      45.2500      270      "LED GREEN CLEAR 1204 SMD R/A"                                  
D2         TopLayer    B560C-13-F                65.7293      25.8884      270      ""                                                              
D3         TopLayer    LED_2SMD                  48.1106      2.6315       180      "LED RED CLEAR 1204 SMD R/A"                                    
F1         TopLayer    0679L                     55.8698      56.4507      180      "FUSE BRD MNT 2SMD"                                             
J3         TopLayer    KLDX-0202-AC              33.8500      48.1500      270      "CONN PWR JACK 2X5.5MM KINKED PIN"                              
J6         TopLayer    Terminal_Block_3Pin_2.54P 25.5000      52.7500      180      "TERMINAL BLOCK 3 PIN 2.54 PITCH"                               
J7         TopLayer    Terminal_Block_4Pin_2.54P 15.3509      52.7500      180      "TERMINAL BLOCK 4 PIN 2.54 PITCH"                               
